ensembl_id,gene_symbol
ENSGALG00000000003,PANX2
ENSGALG00000000004,RFK
ENSGALG00000000011,C10orf88
ENSGALG00000000013,DUSP11
ENSGALG00000000014,
ENSGALG00000000017,
ENSGALG00000000019,AAK1
ENSGALG00000000033,NFU1
ENSGALG00000000038,
ENSGALG00000000040,FAM195A
ENSGALG00000000041,GNAI3
ENSGALG00000000043,USF1
ENSGALG00000000044,
ENSGALG00000000048,
ENSGALG00000000049,CSDC2
ENSGALG00000000054,OAT
ENSGALG00000000055,LAMTOR3
ENSGALG00000000056,DAPP1
ENSGALG00000000059,TUBB3
ENSGALG00000000062,ARMC1
ENSGALG00000000065,PSMA5
ENSGALG00000000067,SPR
ENSGALG00000000071,DDIAS
ENSGALG00000000075,SCRIB
ENSGALG00000000076,NRBP2
ENSGALG00000000080,FER1L5
ENSGALG00000000081,IL4I1
ENSGALG00000000085,GFPT1
ENSGALG00000000086,TIMM17A
ENSGALG00000000091,INTS4
ENSGALG00000000094,ADIPOR1
ENSGALG00000000098,ANTXR1
ENSGALG00000000099,
ENSGALG00000000102,UBE2T
ENSGALG00000000104,
ENSGALG00000000106,LRIF1
ENSGALG00000000107,TRIM7.1
ENSGALG00000000109,AFMID
ENSGALG00000000112,PLP1
ENSGALG00000000113,ZMAT3
ENSGALG00000000114,GKN1
ENSGALG00000000115,HEP21
ENSGALG00000000117,TRIM27.1
ENSGALG00000000119,GKN2
ENSGALG00000000120,BMP-10
ENSGALG00000000122,GNB2L1
ENSGALG00000000123,B-BTN2
ENSGALG00000000129,TCF25
ENSGALG00000000132,ARHGAP25
ENSGALG00000000136,BLEC2
ENSGALG00000000137,SNRPE
ENSGALG00000000139,
ENSGALG00000000140,
ENSGALG00000000141,BLB1
ENSGALG00000000142,CEPT1
ENSGALG00000000146,SUPT6H
ENSGALG00000000149,
ENSGALG00000000150,RPL9
ENSGALG00000000151,ADAMTS19
ENSGALG00000000154,DENND2D
ENSGALG00000000155,OR6A2
ENSGALG00000000156,BRD2
ENSGALG00000000158,DMA
ENSGALG00000000160,ZNF638
ENSGALG00000000161,ISOC1
ENSGALG00000000162,
ENSGALG00000000164,MYBPH
ENSGALG00000000165,CDS2
ENSGALG00000000166,DMB2
ENSGALG00000000168,ADORA1
ENSGALG00000000169,PCNA
ENSGALG00000000171,TMEM230
ENSGALG00000000172,MYOG
ENSGALG00000000177,KLF3
ENSGALG00000000178,BF1
ENSGALG00000000181,TAP2
ENSGALG00000000182,
ENSGALG00000000183,STAMBP
ENSGALG00000000184,SLC27A6
ENSGALG00000000186,MTCH1
ENSGALG00000000187,
ENSGALG00000000188,
ENSGALG00000000189,YTHDC2
ENSGALG00000000193,
ENSGALG00000000194,
ENSGALG00000000195,SVCT2
ENSGALG00000000196,DAD1
ENSGALG00000000199,
ENSGALG00000000201,PLEKHM1
ENSGALG00000000206,RASSF2
ENSGALG00000000208,MCC
ENSGALG00000000209,PRNP
ENSGALG00000000215,DCP2
ENSGALG00000000217,PPFIA4
ENSGALG00000000218,
ENSGALG00000000220,
ENSGALG00000000221,PROM2
ENSGALG00000000223,GGA.5519
ENSGALG00000000225,MGAT4C
ENSGALG00000000226,TMEM9
ENSGALG00000000227,DPYSL2
ENSGALG00000000230,CBX1
ENSGALG00000000231,BNIP3L
ENSGALG00000000233,SP2
ENSGALG00000000234,EPB41L4A
ENSGALG00000000235,PPP2R2A
ENSGALG00000000238,MVP
ENSGALG00000000239,
ENSGALG00000000241,STARD4
ENSGALG00000000242,EBF2
ENSGALG00000000243,RDM1
ENSGALG00000000244,CAMK4
ENSGALG00000000247,WDR36
ENSGALG00000000249,GH
ENSGALG00000000251,CD79B
ENSGALG00000000252,SCN4A
ENSGALG00000000253,SLC25A46
ENSGALG00000000255,MAN2A1
ENSGALG00000000258,HEATR1
ENSGALG00000000259,PSMF1
ENSGALG00000000264,
ENSGALG00000000270,THRA
ENSGALG00000000271,C2CD2L
ENSGALG00000000272,CDCA2
ENSGALG00000000273,
ENSGALG00000000274,
ENSGALG00000000275,KCTD9
ENSGALG00000000276,FBXL17
ENSGALG00000000277,GNRH-I
ENSGALG00000000280,EFNA5
ENSGALG00000000284,HOXB4
ENSGALG00000000285,DPAGT1
ENSGALG00000000287,
ENSGALG00000000291,HMBS
ENSGALG00000000293,
ENSGALG00000000295,IGFN1
ENSGALG00000000296,PCNX
ENSGALG00000000299,PKP1
ENSGALG00000000300,VPS11
ENSGALG00000000302,TNNT2
ENSGALG00000000304,MTFR1
ENSGALG00000000305,METTL22
ENSGALG00000000307,
ENSGALG00000000308,
ENSGALG00000000309,LAD1
ENSGALG00000000311,DOCK5
ENSGALG00000000312,SIK2
ENSGALG00000000313,TNNI1
ENSGALG00000000314,NEFL
ENSGALG00000000316,PREP2
ENSGALG00000000317,NEFM
ENSGALG00000000318,CSRP1
ENSGALG00000000324,PIGV
ENSGALG00000000327,FBN3
ENSGALG00000000329,AHCYL1
ENSGALG00000000332,FTSJ3
ENSGALG00000000336,PPP1R12B
ENSGALG00000000337,CTXN1
ENSGALG00000000341,JAC
ENSGALG00000000346,
ENSGALG00000000349,PSMC5
ENSGALG00000000352,TIMM44
ENSGALG00000000353,DHRS7C
ENSGALG00000000356,SLC37A2
ENSGALG00000000357,
ENSGALG00000000360,ARID1A
ENSGALG00000000362,NAV1
ENSGALG00000000363,SMARCD2
ENSGALG00000000364,STC1
ENSGALG00000000365,NKX2-6
ENSGALG00000000366,RPS6KA
ENSGALG00000000367,ASIC2
ENSGALG00000000368,GAS7
ENSGALG00000000371,CRHR1
ENSGALG00000000372,HMGN2
ENSGALG00000000373,
ENSGALG00000000374,RNPEP
ENSGALG00000000377,HNRNPM
ENSGALG00000000378,SLC25A37
ENSGALG00000000379,ITGB3
ENSGALG00000000382,
ENSGALG00000000385,DHDDS
ENSGALG00000000386,
ENSGALG00000000388,LIN28A
ENSGALG00000000390,ENTPD4
ENSGALG00000000394,SLC6A17
ENSGALG00000000395,
ENSGALG00000000396,METTL2
ENSGALG00000000397,IPO9
ENSGALG00000000399,DUSP28
ENSGALG00000000400,KCNC4
ENSGALG00000000401,RBM15
ENSGALG00000000402,LOXL2
ENSGALG00000000404,COPS2
ENSGALG00000000405,R3HCC1
ENSGALG00000000406,
ENSGALG00000000407,
ENSGALG00000000408,LSM7
ENSGALG00000000409,CHMP7
ENSGALG00000000410,TLK2
ENSGALG00000000412,CCDC15
ENSGALG00000000417,SLC16A4
